Power(W), Temperature(å¼C), Time(ms), elapsed time(ms), number of samples
63.785,54,119.062057,,
63.785,54,119.513054,,
63.785,54,119.964043,,
63.785,54,120.415039,,
63.785,54,120.866028,,
63.785,54,121.317024,,
63.785,54,121.768013,,
63.785,54,122.219009,,
63.785,54,122.669998,,
63.785,54,123.120995,,
63.785,54,123.571983,,
63.785,54,124.02298,,
63.785,54,124.473969,,
63.785,54,124.924965,,
63.785,54,125.375954,,
63.785,54,125.82695,,
63.785,54,126.277939,,
63.785,54,126.728935,,
63.785,54,127.179924,,
63.785,54,127.63092,,
63.785,54,128.081909,,
63.785,54,128.532898,,
63.785,54,128.983902,,
63.785,54,129.434891,,
63.785,54,129.88588,,
63.785,54,130.336868,,
63.785,54,130.787872,,
63.785,54,131.238861,,
63.785,54,131.68985,,
63.785,54,132.140839,,
63.785,54,132.591843,,
63.785,54,133.042831,,
63.785,54,133.49382,,
63.689,54,133.944809,,
63.689,54,134.395813,,
63.689,54,134.846802,,
63.689,54,135.297791,,
63.689,54,135.748779,,
63.689,54,136.199783,,
63.689,54,136.650772,,
63.689,54,137.101761,,
63.689,54,137.55275,,
63.689,54,138.003754,,
63.689,54,138.454742,,
63.689,54,138.905731,,
63.689,54,139.35672,,
63.689,54,139.807724,,
63.689,54,140.258713,,
63.689,54,140.709702,,
63.689,54,141.16069,,
63.689,54,141.611694,,
63.689,54,142.062683,,
63.689,54,142.513672,,
63.689,54,142.964661,,
63.689,54,143.415665,,
63.689,54,143.866653,,
63.689,54,144.317642,,
63.689,54,144.768646,,
63.689,54,145.219635,,
63.689,54,145.670624,,
63.689,54,146.121613,,
63.689,54,146.572617,,
63.689,54,147.023605,,
63.689,54,147.474594,,
63.689,54,147.925583,,
63.689,54,148.376587,,
63.689,54,148.827576,,
63.595,54,149.278564,,
63.595,54,149.729553,,
63.595,54,150.180557,,
63.595,54,150.631546,,
63.595,54,151.082535,,
63.595,54,151.533524,,
63.595,54,151.984528,,
63.595,54,152.435516,,
63.595,54,152.886505,,
63.595,54,153.337494,,
63.595,54,153.788498,,
63.595,54,154.239487,,
63.595,54,154.690475,,
63.595,54,155.141464,,
63.595,54,155.592468,,
63.595,54,156.043457,,
63.595,54,156.494446,,
63.595,54,156.945435,,
63.595,54,157.396439,,
63.595,54,157.847427,,
63.595,54,158.298416,,
63.595,54,158.749405,,
63.595,54,159.200409,,
63.595,54,159.651398,,
63.595,54,160.102386,,
63.595,54,160.553375,,
63.595,54,161.004379,,
63.595,54,161.455368,,
63.595,54,161.906357,,
63.595,54,162.357346,,
63.595,54,162.80835,,
63.595,54,163.259338,,
63.595,54,163.710327,,
63.595,54,164.161316,,
63.785,54,164.61232,,
63.785,54,165.063309,,
63.785,54,165.514297,,
63.785,54,165.965286,,
63.785,54,166.41629,,
63.785,54,166.867279,,
63.785,54,167.318268,,
63.785,54,167.769257,,
63.785,54,168.220261,,
63.785,54,168.671249,,
63.785,54,169.122238,,
63.785,54,169.573227,,
63.785,54,170.024231,,
63.785,54,170.47522,,
63.785,54,170.926208,,
63.785,54,171.377197,,
63.785,54,171.828201,,
63.785,54,172.27919,,
63.785,54,172.730179,,
63.785,54,173.181183,,
63.785,54,173.632172,,
63.785,54,174.08316,,
63.785,54,174.534149,,
63.785,54,174.985153,,
63.785,54,175.436142,,
63.785,54,175.887131,,
63.785,54,176.33812,,
63.785,54,176.789124,,
63.785,54,177.240112,,
63.785,54,177.691101,,
63.785,54,178.14209,,
63.785,54,178.593094,,
63.785,54,179.044083,,
63.785,54,179.495071,,
63.785,54,179.94606,,
63.785,54,180.397064,,
63.785,54,180.848053,,
63.785,54,181.299042,,
63.785,54,181.750031,,
63.785,54,182.201035,,
63.785,54,182.652023,,
63.785,54,183.103012,,
63.785,54,183.554001,,
63.785,54,184.005005,,
63.785,54,184.455994,,
63.785,54,184.906982,,
63.785,54,185.357971,,
63.785,54,185.808975,,
63.785,54,186.259964,,
63.785,54,186.710953,,
63.785,54,187.161942,,
63.785,54,187.612946,,
63.785,54,188.063934,,
63.785,54,188.514923,,
63.785,54,188.965912,,
63.785,54,189.416916,,
63.785,54,189.867905,,
63.785,54,190.318893,,
63.785,54,190.769882,,
63.785,54,191.220886,,
63.785,54,191.671875,,
63.785,54,192.122864,,
63.785,54,192.573853,,
63.785,54,193.024857,,
63.785,54,193.475845,,
63.785,54,193.926834,,
63.785,54,194.377823,,
63.785,54,194.828827,,
63.785,54,195.279816,,
63.88,54,195.730804,,
63.88,54,196.181793,,
63.88,54,196.632797,,
63.88,54,197.083786,,
63.88,54,197.534775,,
63.88,54,197.985764,,
